replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418925,179.76683268298032,8.950989732365354,915.7892087748689,109.3254777929539,217,608.0,34,350,175,121,54,0,0.0005000000000001874,1,1,1,1,1,1,1
1,313345,-287.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8878264420991,195.86204447945536,17.187548032176835,1099.385269976235,135.416784777984,282,287.0,31,357,202,102,53,0,0.0005000000000001874,1,1,1,1,1,1,1
2,314345,113.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,365.6181235750872,219.3870269164093,12.633594345573625,759.4324782228713,148.05837788147468,286,-113.0,31,359,213,101,45,0,0.0005000000000001874,1,1,1,1,1,1,1
3,315345,-254.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,329.95937423227343,196.77353720375325,11.067006805049784,655.977419011903,124.84367175576061,239,254.0,22,359,182,115,62,0,0.0005000000000001874,1,1,1,1,1,1,1
4,316345,129.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,139,142,0.505338078291815,361.32511805374975,210.5979804058476,18.396518633717015,1075.1007824162607,152.08948657422883,304,-129.0,33,357,218,87,52,0,0.0005000000000001874,1,1,1,1,1,1,1
5,317345,-200.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,335.4024451848153,199.70737671650122,10.790077922669727,1118.6676708029627,126.39784038075321,251,200.0,30,352,208,89,55,0,0.0005000000000001874,1,1,1,1,1,1,1
6,318345,-7.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.3333100003585,207.91827711232602,8.83969723567143,1120.7410213355092,130.76134924175673,271,7.0,31,360,199,106,55,0,0.0005000000000001874,1,1,1,1,1,1,1
7,319345,-267.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,157,121,0.4352517985611511,340.83899971142574,198.38097071710402,11.613480675584368,983.7717102060137,132.63484639295993,274,267.0,31,357,200,99,58,0,0.0005000000000001874,1,1,1,1,1,1,1
8,320345,283.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,132,151,0.5335689045936396,363.0831209860563,221.42998165930362,12.505778783697268,963.9561495141293,150.57266652830006,285,-283.0,31,358,199,99,60,0,0.0005000000000001874,1,1,1,1,1,1,1
9,321345,16.0,27,0.0403844586757387,0.8414239282041848,0.0005,175.214912,758.004,0.999240198549462,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,346.51410173013454,204.06142030769146,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,201,95,58,0,0.0005000000000001874,1,1,1,1,1,1,1
