replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418924,181.6731597980214,8.950989732365354,858.2987919396725,109.3254777929539,217,628.0,34,350,5,160,185,0,0.0005,1,1,1,1,1,1,1
1,313345,-307.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,334.88782644209914,199.83297928935002,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,4,132,202,19,0.0005,1,1,1,1,1,1,1
2,314345,113.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,365.6181235750872,221.75430819987955,12.633594345573625,759.4324782228713,148.05837788147468,286,-113.0,31,359,8,105,217,29,0.0005,1,1,1,1,1,1,1
3,315345,-274.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.6778037279154,200.1600940232925,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,11,136,209,3,0.0005,1,1,1,1,1,1,1
4,316345,69.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,142,139,0.49466192170818507,361.24527944439416,213.69592639571326,18.396518633717015,1039.6574062749069,152.08948657422883,304,-69.0,33,357,18,113,214,12,0.0005,1,1,1,1,1,1,1
5,317345,-220.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,154,123,0.44404332129963897,335.40244518481524,201.79264920759115,10.790077922669727,1009.9531335967415,126.39784038075321,251,220.0,30,352,11,103,218,20,0.0005,1,1,1,1,1,1,1
6,318345,-47.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.71511014913403,208.77043183967635,8.83969723567143,1091.506626128232,130.76134924175673,271,47.0,31,360,9,123,219,9,0.0005,1,1,1,1,1,1,1
7,319345,-347.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,198.84244647566834,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,3,86,246,22,0.0005,1,1,1,1,1,1,1
8,320345,103.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,141,142,0.5017667844522968,362.6806137702614,222.67180392099837,14.103620939431089,963.9561495141293,150.57266652830006,285,-103.0,31,358,22,99,236,1,0.0005,1,1,1,1,1,1,1
9,321345,36.0,20,0.04468152902819755,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,141,135,0.4891304347826087,345.7986390361623,202.70129334839334,12.324706307787704,951.5536881580101,142.01650264372986,297,-36.0,32,354,22,20,302,10,0.0005,1,1,1,1,1,1,1
