method,run_index,trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean,best_objective_so_far
bo,0,0,3,2,4,1,1,1,5,1.7468470094578912,0.057089950229350636,30,626.8666666666667,418.43333333333334,208.43333333333334,1001.5333333333333,374.6666666666667,0.3325752249428418,275.81577407143766,148.2914092475526,267.08050756220365,154.08149739641723,1.0167923783820698,535.2497557819484,189.769377590784,189.769377590784,0.6263647172053075,0.5814603060560224,0.5814603060560224,0.25,0.4444444444444445,0.7661549279762156,0.41192058124320174,-0.21922765102185762,0.46516824484481795,0.75,0.4444444444444445,0.3064619711904864,0.0,1.7468470094578912
bo,0,1,4,4,2,3,5,4,9,3.1534570357238705,0.08679870155628557,30,722.5,628.8666666666667,93.63333333333334,995.4,272.9,0.13005511358827732,202.92219507060477,107.20096993588837,194.4296140049027,110.99834951909975,1.4260199981880988,394.3836896013033,138.9434982043655,138.9434982043655,0.7264937716254727,0.36671482658736493,0.36671482658736493,0.6666666666666669,0.888888888888889,0.5636727640850132,0.29778047204413427,-0.2542728200689155,0.29337186126989206,2.0,0.888888888888889,0.22546910563400538,0.0,1.7468470094578912
bo,0,2,3,3,4,3,3,5,1,3.0784437275257828,0.09224449411840713,30,255.76666666666668,85.8,169.96666666666667,1003.7333333333333,747.9666666666667,0.6259553250670583,504.86469323387007,276.7205487202506,540.8763210181146,311.5110817283567,1.3151666801442237,1088.2869674917188,376.6091552202261,376.6091552202261,0.25471304765443914,0.9145406549312275,0.9145406549312275,0.625,0.0,1.4024019256496392,0.7686681908895848,-0.0891495666790537,0.7316325239449817,1.875,0.0,0.5609607702598558,0.0,1.7468470094578912
bo,0,3,1,3,1,5,3,3,6,2.882831402095802,0.03538131391786021,30,370.9,140.86666666666667,230.03333333333333,1006.9333333333333,636.0333333333333,0.6201828266533039,466.5025957030888,258.84822432066966,459.5370482325974,263.80722806680103,1.7419180793843376,917.9543650464936,323.27970937422873,323.27970937422873,0.36862301670532027,0.8599471061740397,0.8599471061740397,0.4166666666666666,0.5555555555555556,1.295840543619691,0.7190228453351938,-0.12901805584686207,0.6879576849392318,1.25,0.5555555555555556,0.5183362174478766,0.0,1.7468470094578912
bo,0,4,1,2,2,5,2,1,2,1.7303203332372599,0.04761882583546939,30,475.6666666666667,273.8,201.86666666666667,1002.8,527.1333333333333,0.3800852331885832,296.9578613344265,160.74619819242326,380.6739909542191,216.56258578959947,1.1763060639975569,758.4138787868043,256.30985624738344,256.30985624738344,0.4758575041777845,0.7260077116598748,0.7260077116598748,0.2916666666666667,0.11111111111111112,0.8248829481511845,0.44651721720117565,-0.16655012646222453,0.5808061693278997,0.875,0.11111111111111112,0.32995317926047385,0.0,1.7303203332372599
bo,0,5,4,4,5,2,4,4,7,2.4874415891418833,0.00900795614374762,30,975.3,975.3,0.0,992.5333333333333,17.233333333333334,0.0,23.286523349894875,6.8393212152433,12.720613705771687,8.291318465193418,1.5849678163530976,30.901039185019467,15.952721718434002,15.952721718434002,0.9826947759634777,0.01730522403652231,0.01730522403652231,0.7083333333333331,0.6666666666666669,0.06468478708304133,0.018998114486786944,-0.34394317158721716,0.013844179229217851,2.125,0.6666666666666669,0.025873914833216532,0.0,1.7303203332372599
bo,0,6,5,1,1,4,5,5,3,3.2502205872339065,0.025411059968456128,30,320.43333333333334,114.86666666666666,205.56666666666666,1005.2333333333333,684.8,0.6415794955046485,500.51588296407095,280.2124936872552,491.2272060923687,283.69396366333643,1.13151728259733,984.3072096408791,345.0541601734069,345.0541601734069,0.3189899559078492,0.8856451134130796,0.8856451134130796,0.625,0.22222222222222224,1.3903218971224196,0.7783680380201531,-0.11164648456774719,0.7085160907304638,1.875,0.22222222222222224,0.5561287588489677,0.0,1.7303203332372599
bo,0,7,2,5,3,2,1,2,8,2.506129554870519,0.16969831705791022,30,193.7,193.7,0.0,998.2666666666667,804.5666666666667,0.0,24.517937725410743,6.39819582248195,585.1932577730108,334.2805953450452,1.381506212167354,1165.5024362992126,341.76503691734416,341.76503691734416,0.19468728342216784,0.8053127165778321,0.8053127165778321,0.375,0.777777777777778,0.06810538257058539,0.017772766173560977,-0.06814054919775872,0.644250173262266,1.125,0.777777777777778,0.027242153028234163,0.0,1.7303203332372599
bo,0,8,2,2,1,2,4,3,3,2.2936752942053094,0.03828608954772086,30,368.6,141.93333333333334,226.66666666666666,999.9333333333333,631.3333333333334,0.615202954065026,462.89475764435485,258.86966879551875,458.3114422368223,261.0132370765865,1.802485137903227,912.7183923482773,319.6194053675132,319.6194053675132,0.3689082824195217,0.8578043279202403,0.8578043279202403,0.3333333333333334,0.22222222222222224,1.285818771234319,0.7190824133208853,-0.12911789884683259,0.6862434623361922,1.0,0.22222222222222224,0.5143275084937275,0.0,1.7303203332372599
bo,0,9,5,3,3,4,2,5,8,2.899655392765481,0.3318896485281398,30,660.8333333333334,660.8333333333334,0.0,1004.3,343.46666666666664,0.0,68.08434514068011,28.80767671859511,247.86044653525903,142.49436851654823,2.4380873355245587,503.89118111921374,141.92762763610102,141.92762763610102,0.6554536151224613,0.3445463848775386,0.3445463848775386,0.6666666666666669,0.777777777777778,0.18912318094633374,0.08002132421831971,-0.2294087652928615,0.27563710790203094,2.0,0.777777777777778,0.0756492723785335,0.0,1.7303203332372599
