method,run_index,trial_index,replication_index,seed,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,scenario,scenario_name,replication_nr,random_seed,animate,run_duration,use_hourly_arrival_rates,rate_multiplier,analysis1_fraction,analysis2_post1_fraction,eval_failed_fraction,preparation_pt_low,preparation_pt_high,preparation_pt_mode,sorting_pt_low,sorting_pt_high,sorting_pt_mode,analysis1_pt_low,analysis1_pt_high,analysis1_pt_mode,analysis2_pt_low,analysis2_pt_high,analysis2_pt_mode,evaluation_pt_low,evaluation_pt_high,evaluation_pt_mode,dispatching_pt_low,dispatching_pt_high,dispatching_pt_mode,transport_duration,verbose,kwargs,msg,t_end,n_orders_completed,n_orders_in_date,n_orders_late,in_date_count,out_of_date_count,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_time_in_system_mean,wip_time_in_system_std,wip_time_in_system_min,wip_time_in_system_max,wip_mean,wip_max,preparation_waiting_time_mean,preparation_waiting_time_max,preparation_queue_length_mean,preparation_queue_length_max,preparation_occupancy_mean,sorting_waiting_time_mean,sorting_waiting_time_max,sorting_queue_length_mean,sorting_queue_length_max,analysis1_waiting_time_mean,analysis1_waiting_time_max,analysis1_queue_length_mean,analysis1_queue_length_max,analysis1_orders_processed,analysis2_waiting_time_mean,analysis2_queue_length_mean,analysis2_orders_processed,evaluation_waiting_time_mean,evaluation_waiting_time_max,evaluation_queue_length_mean,evaluation_queue_length_max,dispatching_waiting_time_mean,dispatching_waiting_time_max,dispatching_queue_length_mean,dispatching_queue_length_max,n_orders_created,n_orders_incomplete,work_in_progress_max,work_in_progress_mean,denom_orders,completed_norm,late_total_norm,on_time_loss_norm,station_capacity_sum,station_capacity_norm,worker_capacity_norm,time_in_system_mean_norm,time_in_system_std_norm,objective_completed_contribution,objective_late_contribution,objective_station_capacity_contribution,objective_worker_capacity_contribution,objective_time_mean_contribution,objective_time_std_contribution,objective_time_mode,objective_missing_terms,objective_value,error
bo,13,0,0,1312345,1,3,5,4,4,3,4,1,,0,1312345,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,706,560,146,560,146,0.20679886685552407,223.96487692425978,125.1312277699899,15.150425139561165,443.15399677514847,218.78111849166723,128.4441540554707,0.718661599754796,443.1742804382259,155.840195841321,304,1.9965672849776186,2.4721287859670156,0.9921268045987445,1,0.9978144000264333,0.048208979257113066,1.554754086331286,0.026247110928872667,1,0.0,0.0,0.0,0,616,0.0,0.0,488,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1009,303,304,155.840195841321,1009,0.6997026759167493,0.4449950445986125,0.4449950445986125,20,0.5833333333333334,0.3333333333333333,0.6221246581229438,0.3475867438055275,-0.6997026759167493,1.3349851337958376,0.46666666666666673,0.11666666666666665,0.24884986324917754,0.0,mean,,1.4674656544615994,
bo,13,0,1,1312346,1,3,5,4,4,3,4,1,,0,1312346,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,707,552,155,552,155,0.21923620933521923,238.42708137374368,122.87579384714749,14.116068706125102,460.3286988569264,234.13057513130119,133.1383325557451,1.5457779725190903,472.5675928135015,166.1634584867289,308,2.0002714356879547,2.629340902510876,0.9975017223240772,1,0.999217367277655,0.09864948238974074,1.9967490089981084,0.05459974823932179,1,0.0,0.0,0.0,0,627,0.0,0.0,462,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1009,302,308,166.1634584867289,1009,0.7006937561942518,0.4529236868186323,0.45292368681863227,20,0.5833333333333334,0.3333333333333333,0.662297448260399,0.3413216495754097,-0.7006937561942518,1.358771060455897,0.46666666666666673,0.11666666666666665,0.26491897930415964,0.0,mean,,1.506329616899138,
bo,13,0,2,1312347,1,3,5,4,4,3,4,1,,0,1312347,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,708,590,118,590,118,0.16666666666666666,207.35672162938377,119.78705640871445,16.656361730602008,430.02860937474736,201.82971980790597,124.68982504708505,0.8717735453494697,427.62525385260426,139.0926629602074,266,1.9901588167321727,2.4744399156930967,0.9946351718811891,1,0.9972007484174361,0.10466415929856236,2.5805873888500344,0.058292122053782654,1,0.0,0.0,0.0,0,622,0.0,0.0,494,0.0,0.0,0.0,0,0.0,0.0,0.0,0,973,265,266,139.0926629602074,973,0.7276464542651593,0.3936279547790339,0.3936279547790339,20,0.5833333333333334,0.3333333333333333,0.5759908934149549,0.33274182335754016,-0.7276464542651593,1.1808838643371016,0.46666666666666673,0.11666666666666665,0.23039635736598196,0.0,mean,,1.2669671007712577,
bo,13,0,3,1312348,1,3,5,4,4,3,4,1,,0,1312348,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,712,619,93,619,93,0.1306179775280899,218.6705581075459,107.21852507380983,15.550526706198422,406.54245276943584,200.2853082080756,115.67192783566911,0.0363857330423798,393.92211109623963,146.09119896762328,273,1.9883780937846558,2.4875649290029287,0.9964776627052865,1,0.998981422698023,0.079889489335026,1.728365207131219,0.04393065713394176,1,0.0,0.0,0.0,0,644,0.0,0.0,454,0.0,0.0,0.0,0,0.0,0.0,0.0,0,985,273,273,146.09119896762328,985,0.7228426395939086,0.3715736040609137,0.37157360406091366,20,0.5833333333333334,0.3333333333333333,0.6074182169654053,0.2978292363161384,-0.7228426395939086,1.1147208121827412,0.46666666666666673,0.11666666666666665,0.24296728678616214,0.0,mean,,1.218178792708328,
bo,13,0,4,1312349,1,3,5,4,4,3,4,1,,0,1312349,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,705,555,150,555,150,0.2127659574468085,226.18906751061172,136.66768368183233,16.672579055109413,466.5051231304931,227.90188501628052,129.61580987017388,0.38350106388065797,461.5135494422119,156.9518354303717,292,1.9888131988071345,2.4850633774809694,0.9903352186224975,1,0.99554223199414,0.13113322903658875,2.099303407354455,0.07365229189808659,1,0.0,0.0,0.0,0,626,0.0,0.0,468,0.0,0.0,0.0,0,0.0,0.0,0.0,0,997,292,292,156.9518354303717,997,0.7071213640922769,0.44332998996990974,0.4433299899699097,20,0.5833333333333334,0.3333333333333333,0.6283029653072548,0.3796324546717565,-0.7071213640922769,1.3299899699097293,0.46666666666666673,0.11666666666666665,0.25132118612290194,0.0,mean,,1.4575231252736878,
bo,13,0,5,1312350,1,3,5,4,4,3,4,1,,0,1312350,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,702,578,124,578,124,0.17663817663817663,228.11896674462605,125.91601937625805,16.634053830586943,467.1681453546921,229.37940755144297,135.95559425254459,0.05236157492208804,472.0545292269585,166.80064436818117,349,1.9770664999155494,2.4909729948685424,0.9778405551746846,1,0.9902033858359989,0.08633780488137507,2.4175332094980604,0.047066095022138495,1,0.0,0.0,0.0,0,626,0.0,0.0,462,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1051,349,349,166.80064436818117,1051,0.6679352997145576,0.45004757373929594,0.45004757373929594,20,0.5833333333333334,0.3333333333333333,0.6336637965128501,0.34976672048960566,-0.6679352997145576,1.3501427212178878,0.46666666666666673,0.11666666666666665,0.25346551860514005,0.0,mean,,1.5190062734418037,
bo,13,0,6,1312351,1,3,5,4,4,3,4,1,,0,1312351,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,707,616,91,616,91,0.12871287128712872,217.2557847048615,109.50137565789272,14.905386178014853,433.6119795791582,214.95629476328588,126.30767579741209,0.5234878295202634,432.4204243614039,152.34476804437676,307,1.9911853112717877,2.6799478571156214,0.991643890536274,1,0.9980597092658811,0.11965761968482379,2.700805958880437,0.06647645538045767,1,0.0,0.0,0.0,0,626,0.0,0.0,468,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1013,306,307,152.34476804437676,1013,0.6979269496544916,0.39190523198420535,0.39190523198420535,20,0.5833333333333334,0.3333333333333333,0.6034882908468375,0.3041704879385909,-0.6979269496544916,1.175715695952616,0.46666666666666673,0.11666666666666665,0.241395316338735,0.0,mean,,1.3025173959701928,
bo,13,0,7,1312352,1,3,5,4,4,3,4,1,,0,1312352,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,712,578,134,578,134,0.18820224719101122,223.7146281863156,118.2275930807594,16.81793222233697,440.5096163737692,212.8990756925717,122.23297164704937,1.992822893487073,421.80787928332325,150.6808783203775,273,1.9900117927845775,2.467783339873904,0.9957102579080314,1,0.9986585808118558,0.06074527094578574,2.168921117486562,0.03332553058831301,1,0.0,0.0,0.0,0,631,0.0,0.0,479,0.0,0.0,0.0,0,0.0,0.0,0.0,0,983,271,273,150.6808783203775,983,0.7243133265513734,0.41200406917599186,0.41200406917599186,20,0.5833333333333334,0.3333333333333333,0.6214295227397655,0.32840998077988726,-0.7243133265513734,1.2360122075279756,0.46666666666666673,0.11666666666666665,0.2485718090959062,0.0,mean,,1.3436040234058417,
bo,13,0,8,1312353,1,3,5,4,4,3,4,1,,0,1312353,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,709,596,113,596,113,0.15937940761636107,208.87732589204873,116.95024227101985,14.658738722396913,425.43109189660447,207.43155615438135,123.39738938411267,0.9354485464562003,427.4956375693755,144.61748287655075,291,1.9904793073211096,2.494493943925022,0.9939495106130727,1,0.9965340193654844,0.09431842594851672,2.3429641593220367,0.051482140830232045,1,0.0,0.0,0.0,0,628,0.0,0.0,475,0.0,0.0,0.0,0,0.0,0.0,0.0,0,999,290,291,144.61748287655075,999,0.7097097097097097,0.4034034034034034,0.4034034034034034,20,0.5833333333333334,0.3333333333333333,0.5802147941445798,0.3248617840861662,-0.7097097097097097,1.2102102102102101,0.46666666666666673,0.11666666666666665,0.23208591765783193,0.0,mean,,1.3159197514916658,
bo,13,0,9,1312354,1,3,5,4,4,3,4,1,,0,1312354,False,1440,False,0.5,0.8,0.5,0.1,1.5,2.5,2,3,5,4,3,6,4,2,2,2,0.2,0.75,0.4,0.8,1.2,1,1,False,{},simulation ended,1440.0,707,541,166,541,166,0.2347949080622348,240.20440844974712,129.54505952016487,17.356214140058036,468.6249890945247,220.5993036978006,131.4850876985535,0.4762724391955544,472.85587436701326,168.7940872233616,333,1.9994832264683102,2.4967522777997146,0.9971661493747838,1,0.9974932636589929,0.08469515731037554,2.455654524116312,0.04646470435777547,1,0.0,0.0,0.0,0,612,0.0,0.0,457,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1039,332,333,168.7940872233616,1039,0.6804619826756496,0.4793070259865255,0.4793070259865255,20,0.5833333333333334,0.3333333333333333,0.6672344679159642,0.35984738755601353,-0.6804619826756496,1.4379210779595766,0.46666666666666673,0.11666666666666665,0.2668937871663857,0.0,mean,,1.607686215783646,
