replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418924,179.5840255291843,8.950989732365354,858.2987919396725,109.3254777929539,217,608.0,34,350,5,123,222,0,0.0005,1,1,1,1,1,1,1
1,313345,-287.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8878264420991,195.9749610941971,17.187548032176835,1099.385269976235,135.416784777984,282,287.0,31,357,12,102,241,2,0.0005,1,1,1,1,1,1,1
2,314345,113.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,365.6181235750872,219.40632197710903,10.768648519648394,759.4324782228713,148.05837788147468,286,-113.0,31,359,7,105,242,5,0.0005,1,1,1,1,1,1,1
3,315345,-254.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,329.9593742322734,196.77564329654942,11.067006805049784,655.977419011903,124.84367175576061,239,254.0,22,359,13,107,238,1,0.0005,1,1,1,1,1,1,1
4,316345,149.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,361.24527944439416,212.75092109484206,18.396518633717015,1039.6574062749069,152.08948657422883,304,-149.0,33,357,18,84,255,0,0.0005,1,1,1,1,1,1,1
5,317345,-240.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.4024451848153,199.38569421140244,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,11,91,243,7,0.0005,1,1,1,1,1,1,1
6,318345,-7.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.3333100003585,208.59516291848524,8.83969723567143,1120.7410213355092,130.76134924175673,271,7.0,31,360,9,111,238,2,0.0005,1,1,1,1,1,1,1
7,319345,-287.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,158,120,0.4316546762589928,340.8389997114258,198.0326916480732,11.613480675584368,983.7717102060137,132.63484639295993,274,287.0,31,357,11,95,251,0,0.0005,1,1,1,1,1,1,1
8,320345,263.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,133,150,0.5300353356890459,363.0831209860564,223.19468075839478,14.103620939431089,963.9561495141293,150.57266652830006,285,-263.0,31,358,8,105,232,13,0.0005,1,1,1,1,1,1,1
9,321345,16.0,20,0.06403683716750931,0.01,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,346.51410173013454,206.1115391458099,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,3,107,236,8,0.0005,1,1,1,1,1,1,1
