replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-568.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,169,102,0.3763837638376384,310.3158937575229,184.13171072205935,8.950989732365354,918.7206139807984,109.3254777929539,217,568.0,34,350,262,27,0,61,0.0005,1,1,1,1,1,1,1
1,313345,-247.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,335.37554245579213,197.8704615077997,17.187548032176835,1015.6946575113395,135.416784777984,282,247.0,31,357,241,28,0,88,0.0005,1,1,1,1,1,1,1
2,314345,-87.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,147,129,0.4673913043478261,365.43027429791255,220.87969658359162,10.768648519648394,857.6635977688006,148.05837788147468,286,87.0,31,359,252,31,1,75,0.0005,1,1,1,1,1,1,1
3,315345,-374.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,166,122,0.4236111111111111,330.3677014857101,203.7783457497016,11.067006805049784,950.6175290659335,124.84367175576061,239,374.0,22,359,256,32,7,64,0.0005,1,1,1,1,1,1,1
4,316345,-71.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,149,132,0.4697508896797153,361.36699494210467,213.10936340881253,18.396518633717015,1090.6752764319076,152.08948657422883,304,71.0,33,357,247,37,1,72,0.0005,1,1,1,1,1,1,1
5,317345,-340.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,160,117,0.4223826714801444,334.103055951381,201.34704088395634,10.790077922669727,1045.901649280262,126.39784038075321,251,340.0,30,352,239,33,1,79,0.0005,1,1,1,1,1,1,1
6,318345,-47.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.80228294664323,204.84102542614963,8.83969723567143,1002.743692246658,130.76134924175673,271,47.0,31,360,269,20,5,66,0.0005,1,1,1,1,1,1,1
7,319345,-187.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,339.8850992667524,205.26036531398069,11.613480675584368,966.7853104111985,132.63484639295993,274,187.0,31,357,259,37,7,54,0.0005,1,1,1,1,1,1,1
8,320345,-77.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,150,133,0.46996466431095407,362.1295538127636,234.08660484822462,14.103620939431089,1066.0812896093398,150.57266652830006,285,77.0,31,358,257,69,3,29,0.0005,1,1,1,1,1,1,1
9,321345,-204.0,20,0.008705056971260089,0.0,0.0005,175.214912,758.004,0.9268078424558299,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,153,123,0.44565217391304346,346.6975983301442,209.72496010061582,12.324706307787704,948.1399454287478,142.01650264372986,297,204.0,32,354,249,74,3,28,0.0005,1,1,1,1,1,1,1
