replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-628.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,172,99,0.36531365313653136,310.5047751418924,181.67195680836303,8.950989732365354,858.2987919396725,109.3254777929539,217,628.0,34,350,178,141,15,16,0.0005,1,1,1,1,1,1,1
1,313345,-307.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,334.88782644209914,200.49123155192032,17.187548032176835,1204.4668108825322,135.416784777984,282,307.0,31,357,200,136,15,6,0.0005,1,1,1,1,1,1,1
2,314345,113.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,365.6181235750872,221.14011013035795,12.633594345573625,759.4324782228713,148.05837788147468,286,-113.0,31,359,227,105,3,24,0.0005,1,1,1,1,1,1,1
3,315345,-274.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,329.6778037279154,200.29893051037718,11.067006805049784,655.977419011903,124.84367175576061,239,274.0,22,359,190,136,23,10,0.0005,1,1,1,1,1,1,1
4,316345,69.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,142,139,0.49466192170818507,361.24527944439416,213.53233783775607,18.396518633717015,1039.6574062749069,152.08948657422883,304,-69.0,33,357,224,95,12,26,0.0005,1,1,1,1,1,1,1
5,317345,-240.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.40244518481524,203.37308785634366,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,212,113,16,11,0.0005,1,1,1,1,1,1,1
6,318345,-47.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.3333100003585,210.2126025160478,8.83969723567143,1120.7410213355092,130.76134924175673,271,47.0,31,360,205,130,7,18,0.0005,1,1,1,1,1,1,1
7,319345,-327.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,340.2205302312603,201.51643013640924,11.613480675584368,983.7717102060137,132.63484639295993,274,327.0,31,357,196,116,18,27,0.0005,1,1,1,1,1,1,1
8,320345,223.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,135,148,0.5229681978798587,364.01345260262264,227.87447697348446,14.103620939431089,950.4154982611279,150.57266652830006,285,-223.0,31,358,198,88,16,56,0.0005,1,1,1,1,1,1,1
9,321345,16.0,25,0.03684549042015599,0.8,0.0005,175.214912,758.004,0.9924279113496888,0.0005,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,346.51410173013454,208.39957082465648,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,10,71,208,65,0.0005,1,1,1,1,1,1,1
